Metric,Value
route__wirelength__iter:2,495490
route__drc_errors__iter:3,61
route__wirelength__iter:3,495909
route__drc_errors__iter:4,16
route__wirelength__iter:4,495972
route__drc_errors__iter:5,9
route__wirelength__iter:5,495959
route__drc_errors__iter:6,9
route__wirelength__iter:6,495961
route__drc_errors__iter:7,1
route__wirelength__iter:7,495973
route__drc_errors__iter:8,1
route__wirelength__iter:8,495973
route__drc_errors__iter:9,0
route__wirelength__iter:9,495972
route__drc_errors,0
route__wirelength,495952
route__vias,51500
route__vias__singlecut,51500
route__vias__multicut,0
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,4.3904
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1103.35
design__instance__count__class:fill_cell,28573
design__instance__area__class:fill_cell,532011
timing__unannotated_net__count__corner:nom_tt_025C_3v30,1299
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:min_tt_025C_3v30,0
design__max_fanout_violation__count__corner:min_tt_025C_3v30,0
design__max_cap_violation__count__corner:min_tt_025C_3v30,1
clock__skew__worst_hold__corner:min_tt_025C_3v30,-0.4485723863767193
clock__skew__worst_setup__corner:min_tt_025C_3v30,0.45640661986040276
timing__hold__ws__corner:min_tt_025C_3v30,0.5122031832537507
timing__setup__ws__corner:min_tt_025C_3v30,26.84365161689
timing__hold__tns__corner:min_tt_025C_3v30,0.0
timing__setup__tns__corner:min_tt_025C_3v30,0.0
timing__hold__wns__corner:min_tt_025C_3v30,0
timing__setup__wns__corner:min_tt_025C_3v30,0.0
timing__hold_vio__count__corner:min_tt_025C_3v30,0
timing__hold_r2r__ws__corner:min_tt_025C_3v30,0.512203
timing__hold_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__setup_vio__count__corner:min_tt_025C_3v30,0
timing__setup_r2r__ws__corner:min_tt_025C_3v30,26.843651
timing__setup_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__unannotated_net__count__corner:min_tt_025C_3v30,1299
timing__unannotated_net_filtered__count__corner:min_tt_025C_3v30,0
design__max_slew_violation__count__corner:max_tt_025C_3v30,0
design__max_fanout_violation__count__corner:max_tt_025C_3v30,0
design__max_cap_violation__count__corner:max_tt_025C_3v30,11
clock__skew__worst_hold__corner:max_tt_025C_3v30,-0.455672373842301
clock__skew__worst_setup__corner:max_tt_025C_3v30,0.4633092096666233
timing__hold__ws__corner:max_tt_025C_3v30,0.5186132781123188
timing__setup__ws__corner:max_tt_025C_3v30,26.63159013140489
timing__hold__tns__corner:max_tt_025C_3v30,0.0
timing__setup__tns__corner:max_tt_025C_3v30,0.0
timing__hold__wns__corner:max_tt_025C_3v30,0
timing__setup__wns__corner:max_tt_025C_3v30,0.0
timing__hold_vio__count__corner:max_tt_025C_3v30,0
timing__hold_r2r__ws__corner:max_tt_025C_3v30,0.518613
timing__hold_r2r_vio__count__corner:max_tt_025C_3v30,0
timing__setup_vio__count__corner:max_tt_025C_3v30,0
timing__setup_r2r__ws__corner:max_tt_025C_3v30,26.631590
timing__setup_r2r_vio__count__corner:max_tt_025C_3v30,0
timing__unannotated_net__count__corner:max_tt_025C_3v30,1299
timing__unannotated_net_filtered__count__corner:max_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,1299
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:min_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:min_ff_n40C_3v60,0
design__max_cap_violation__count__corner:min_ff_n40C_3v60,0
clock__skew__worst_hold__corner:min_ff_n40C_3v60,-0.40809731749015427
clock__skew__worst_setup__corner:min_ff_n40C_3v60,0.4147185767739782
timing__hold__ws__corner:min_ff_n40C_3v60,0.3485253295724897
timing__setup__ws__corner:min_ff_n40C_3v60,29.274423713742753
timing__hold__tns__corner:min_ff_n40C_3v60,0.0
timing__setup__tns__corner:min_ff_n40C_3v60,0.0
timing__hold__wns__corner:min_ff_n40C_3v60,0
timing__setup__wns__corner:min_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:min_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:min_ff_n40C_3v60,0.348525
timing__hold_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:min_ff_n40C_3v60,29.698708
